PCNAME,PCUID,PCPUID,DGUID,PCTYPE,PCCLASS,LANDAREA,HA_ID,HA_Name,LHA_Name,HSDA_Name,Warning_Zone,Population,Percent of HA pop
Smithers,765,590765,2021S05100765,4,2,10.4645,5 NHA,Northern,Smithers,Northwest,2,5316,3.2%
Sooke,1098,591098,2021S05101098,2,2,15.2988,4 VIHA,Vancouver Island,Western Communities,South Vancouver Island,4,11583,1.7%
Sparwood,776,590776,2021S05100776,4,2,8.6087,1 IHA,Interior,Fernie,East Kootenay,3,3990,0.7%
Squamish,781,590781,2021S05100781,1,2,22.1061,3 VCHA,Vancouver Coastal,Howe Sound,North Shore/Coast Garibaldi,4,22221,2.9%
Summerland,1117,591117,2021S05101117,4,2,15.8259,1 IHA,Interior,Summerland,Okanagan,3,9860,1.7%
Telkwa,1568,591568,2021S05101568,4,2,2.8621,5 NHA,Northern,Smithers,Northwest,2,1288,0.8%
Terrace,922,590922,2021S05100922,1,2,22.1869,5 NHA,Northern,Terrace,Northwest,1,14633,8.7%
Tofino,1615,591615,2021S05101615,4,2,5.4743,4 VIHA,Vancouver Island,Alberni/Clayoquot,Central Vancouver Island,4,2217,0.3%
Trail - Fruitvale,1569,591569,2021S05101569,1,2,21.6528,1 IHA,Interior,Trail,Kootenay Boundary,3,12863,2.3%
Tsawwassen,1570,591570,2021S05101570,2,2,14.9525,2 FHA,Fraser,Delta,Fraser South,5,23940,2.2%
Tumbler Ridge,1240,591240,2021S05101240,4,2,2.9483,5 NHA,Northern,Peace River South,Northeast,2,2389,1.4%
Ucluelet,959,590959,2021S05100959,4,2,2.8951,4 VIHA,Vancouver Island,Alberni/Clayoquot,Central Vancouver Island,4,1940,0.3%
Vancouver - Coastal,,,,2,2,,4 VIHA,Vancouver Coastal,Vancouver,Vancouver,4,583740,76.8%
Vancouver - NorthShore,,,,1,4,,4 VIHA,Vancouver Coastal,Vancouver,Vancouver,4,103130,13.6%
Vancouver - Inland,,,,,,,2 FHA,Fraser,Fraser,Fraser South,5,656565,60.0%
Vanderhoof,974,590974,2021S05100974,4,2,2.8452,5 NHA,Northern,Nechako,Northern Interior,2,1967,1.2%
Vernon,983,590983,2021S05100983,1,3,51.1645,1 IHA,Interior,Vernon,Okanagan,3,51896,9.1%
Victoria,984,590984,2021S05100984,1,4,222.7074,4 VIHA,Vancouver Island,Greater Victoria,South Vancouver Island,4,363222,52.5%
Welcome Beach,1424,591424,2021S05101424,4,2,1.4073,3 VCHA,Vancouver Coastal,Sunshine Coast,North Shore/Coast Garibaldi,4,1116,0.1%
Whistler,1309,591309,2021S05101309,4,2,11.7412,3 VCHA,Vancouver Coastal,Howe Sound,North Shore/Coast Garibaldi,4,9974,1.3%
White Rock,1021,591021,2021S05101021,6,4,54.2278,2 FHA,Fraser,Surrey,Fraser South,5,109167,10.0%
Williams Lake,1028,591028,2021S05101028,1,2,27.6857,1 IHA,Interior,Cariboo/Chilcotin,Thompson Cariboo Shuswap,2,11906,2.1%
Yarrow,1616,591616,2021S05101616,2,2,3.3734,2 FHA,Fraser,Chilliwack,Fraser East,5,1378,0.1%
