PC,1,2,3,4,5,6,7,8,9,10,11,12
Kelowna,1.488862058,0.654571248,1.170893196,0.699318399,0.969087079,0.860385267,0.841741638,0.643165641,0.58236153,0.19036918,0.453882954,0.151288582
Kent,1.073121369,0.675522214,0.760792455,0.628663,0.600864685,0.606806475,0.53226052,0.678727209,0.665327593,0.428670389,-0.147220366,-0.210969895
Keremeos,2.636748837,2.390859127,3.807915816,3.036639007,3.267512944,3.118120588,3.370731406,3.402479649,3.254408706,2.805987256,2.255968132,1.695990558
Kimberley,1.43747545,0.858282304,1.765739742,1.709995817,1.004899047,1.069909992,1.248335171,1.449612394,1.474587486,0.929821851,0.955710053,0.023427118
Kitimat,1.245337184,0.581810732,0.887711914,1.106485897,0.827277242,0.865937804,0.655521837,0.83259121,0.55870038,0.562731317,0.124764546,0.250818455
Ladner,0.516479073,-0.03409128,0.224139677,-0.022642177,0.17944594,0.259377976,0.207280873,0.284464006,0.259442242,-0.050011962,-0.342253644,-0.454682538
Ladysmith,0.814420161,0.387363567,0.799344181,0.839006798,0.734694989,0.679543078,0.327630423,0.352657559,0.317032532,0.291186092,0.226820559,0.040636492
Lake Cowichan,1.164479891,1.086568836,2.002858922,2.374247469,2.823908929,3.259289821,3.342353072,3.504903211,2.908299625,1.651317402,0.441179345,0.230744027
Lillooet,3.020651413,2.501065295,3.769282277,3.931213849,3.372939862,3.610202167,3.925050139,3.944597374,3.214434693,2.393332346,2.270834866,1.395620962
Lions Bay,4.427684247,4.443141994,5.21345535,4.922373233,4.342982166,4.086599793,2.925760211,3.013212616,2.756769937,3.459883298,4.127809118,3.893866127
Logan Lake,1.685803482,0.71299418,1.232503311,0.810120668,0.441945418,0.36649937,0.74374055,0.843862151,0.591013506,0.219305378,0.351922244,-0.120088217
Lumby,1.512169384,0.90252443,2.220138054,2.092503166,1.969873675,2.069534736,2.203774675,2.125311598,1.879236778,1.188147792,1.059831937,0.483452865
Mackenzie,2.064050856,0.314604238,0.649562747,0.617139532,0.285137258,0.228475485,0.393638699,0.425846747,0.050760127,-0.41655625,-0.076019667,0.300290899
Merritt,1.874183186,0.448065336,1.144989401,1.156040461,1.347364543,0.973280884,0.605767876,1.081945455,0.469338517,1.006112947,1.284715531,0.250615707
